sc_index	sc_id	sc_title	sc_url
23	2190957343	Pickup - Free DL	https://soundcloud.com/lunax123456/pickup-free-dl
24	2103574647	SALTAR BAIXO - Z1K	https://soundcloud.com/cool-tracks-records/c761e1f1-cb81-4019-8e41-e9e2797b7e8a
25	2224560374	[FREE DL] DannYCandY - BOUNZ SYSTEM	https://soundcloud.com/no-rules-sound-label/free-dl-dannycandy-bounz-system
26	2072985764	Z1K x DEMONTIME x LELO - STIR FRY	https://soundcloud.com/user-24937981-601594508/lelo-x-demontime-x-z1k-stir-2
27	2015866383	PREMIERE015: SZG - PULA (ft. MC Madan)	https://soundcloud.com/240kmhk/premiere015-szg-pula
28	2083486548	GIØ X DERJAY - VATUSSI (R165)	https://soundcloud.com/round165/gio-x-derjay-vatussi
29	2253648761	VENENØ	https://soundcloud.com/fobia22/veneno
30	1365962803	On en veut plus	https://soundcloud.com/roland-cristal/on-en-veut-plus-1
31	2245652519	CRITICAL ERROR 404 x MORYAK - GATA	https://soundcloud.com/louis-rohde-578758827/utopic-wav
32	2229472703	BRING THE BEAT BACK ᯓ★	https://soundcloud.com/renzo_dj/bring-the-beat-back
33	2220443075	[TI-S008] DOCTOR MÜCKE - MASSAFGHANISTAN (EDIT)	https://soundcloud.com/trance-italy/ti-s008-doctor-mucke-massafghanistan-edit
34	2070228168	[TI-S003] JESOORIA - NISSAN ALTIMA	https://soundcloud.com/trance-italy/jesooria-nissan-altima
35	2075488172	[TI-S004] RESA UTOPICA - VAFFANGUL	https://soundcloud.com/trance-italy/resa-utopica-vaffangul
36	1896263163	Daniel S x Transistor - Consume Machine | Free DL	https://soundcloud.com/daniel-schmutz-763596389/daniel-s-x-transistor-consume-machine
37	2252306381	THE NIGHTS  - QUINCE VS DVRK OKTOPUS	https://soundcloud.com/quinccce/quince-vs-dvrk-oktopus-the-nights-remix
38	2259402524	BOLA	https://soundcloud.com/giowaw/bola
39	2126796357	Hit The Blunt	https://soundcloud.com/maskiert/hit-the-blunt
40	1927846061	WILDERÍCH x EXTENDO - DOOBLER	https://soundcloud.com/wilderichofficial/wilderich-x-extendo-doobler
41	1894190034	S3RL - Bass Slut (Renzo Edit)	https://soundcloud.com/galactic-harmony-records/renzo-bass-slut
42	2073693136	Level Up	https://soundcloud.com/socordia/level-up
43	2011250691	Wait [FREE DL]	https://soundcloud.com/kamaleon/wait-free-dl
44	2218950800	CRITICAL ERROR 404 - CALABRIA	https://soundcloud.com/louis-rohde-578758827/critical-error-404-calabria
45	2248543331	HELLBOUND! - WELCOME TO HELL [TG36]	https://soundcloud.com/technogermany/hellbound-welcome-to-hell-tg36
46	2081508102	HEROINE - Samuel Moriero Remix (FREE DL)	https://soundcloud.com/samuel-moriero/heroine-samuel-moriero-remix-free-dl
47	2174333322	HEARTLESS	https://soundcloud.com/dave75-official/heartless
48	1990570119	Salvyan - Vamo Sambá	https://soundcloud.com/propagandarcrds/salvyan-vamo-samba
49	2180487151	ROCK YOU - R2B x verönika (FREE DL)	https://soundcloud.com/ride2boyz/we-will-rock-you-r2b-veronika
50	2126707827	IF U WANT THIS	https://soundcloud.com/miguel-panzer/if-u-want-this-1
51	1863060192	Coseno ( Free Download )	https://soundcloud.com/giowaw/coseno
52	1924799246	PVSS IT	https://soundcloud.com/giowaw/pvss-it
53	1936146884	HÖLLE NEIN	https://soundcloud.com/giowaw/hoelle-nein
54	2196203691	FLICKER	https://soundcloud.com/giowaw/flicker
55	2038685280	NACHTWASSER - SHUT UP | FREE DOWNLOAD	https://soundcloud.com/euphorismus/nachtwasser-shut-up
56	2136636792	MANDIBULAR (IN FURCHT MASTER)	https://soundcloud.com/miguel-panzer/miguel-panzer-mandibular-in
57	2096860503	PREMIERE // Klaps - Se Cura [DLRVA05]	https://soundcloud.com/aderbsound/premiere-klaps-se-cura-dlrva05
58	1990275983	Algorithm's Cage || Free DL week19	https://soundcloud.com/daniel-schmutz-763596389/algorithms-cage-free-dl
59	2252819369	Cheikh - Lara Dying	https://soundcloud.com/mam-recordsx/cheikh-lara-dying-1
60	2255202941	SLO	https://soundcloud.com/nachtwasser/slo
61	1876541805	DAVE75 - Embrazando	https://soundcloud.com/dave75-official/dave75-embrazando
62	1962079851	DAVE75 x Dice - BNM	https://soundcloud.com/dave75-official/dave-x-dice
63	2119357392	DAVE75 - GShiT	https://soundcloud.com/dave75-official/gshit
64	2153591898	DAVE75 - DEMONS	https://soundcloud.com/gulligangrecords/demons
65	1760274720	DAVE75 - Quick Cash 💰	https://soundcloud.com/dave75-official/dave75-quick-cash-free-download
66	1923292748	DAVE75 - LOST (FREE DOWNLOAD)	https://soundcloud.com/dave75-official/lost
67	2251949906	SØMOS X PIFØ - ERES	https://soundcloud.com/gulligangrecords/somos-x-pifo-eres
68	2250317558	FREE DOWNLOAD // FRAUD AKA F-17 & KLINGER3Ø3 - ERROR 32 (NEW GLAM)	https://soundcloud.com/newglam/75f6d0d4-893e-4a46-8d67-6ad161148fa5
69	2248543343	HELLBOUND! - BAILE93 [TG36]	https://soundcloud.com/technogermany/hellbound-baile93-tg36
70	2231215184	FOLELE - ArceX	https://soundcloud.com/marc-arce-902326877/folele-arcex
71	2163735309	George aka Dr. Radsport, Danny Gentler - Luft (Original Mix)	https://soundcloud.com/galactic-harmony-records/danny-gentler-x-george-aka-dr
72	2202894699	Karol G - Latina Foreva (Marty edit)	https://soundcloud.com/galactic-harmony-records/karol-g-latina-foreva-marty
73	2150990304	ZENEA, DJ Achim Feuervogel - Won't See Me Coming (Original Mix)	https://soundcloud.com/galactic-harmony-records/wont-see-me-coming
74	2159257683	zwilling. - On the Grind (Original Mix)	https://soundcloud.com/galactic-harmony-records/zwilling-on-the-grind-original
75	2178110487	Atzendent, Canumaboys - Stacks (Original Mix)	https://soundcloud.com/galactic-harmony-records/atzendent-stacks-original-mix
76	2159281623	HUMAN ERROR - Forget You (Original Mix)	https://soundcloud.com/galactic-harmony-records/human-error-forget-you
77	2159167629	Serafina - Te Veo (Original Mix)	https://soundcloud.com/galactic-harmony-records/serafina-te-veo-original-mix
78	2252493344	Skrillex - Make It Bun Dem (ZENEA & Valian Remix)	https://soundcloud.com/galactic-harmony-records/skrillex-make-it-bun-dem-1
79	2228252933	PLWS - Vanatek (Original Mix)	https://soundcloud.com/galactic-harmony-records/plws-vanatek
80	2198198039	MAMACITA X F-17 ft. ZOMBIE1000	https://soundcloud.com/demontime66/mamacita
81	2096317938	DETOXX - CPU CRASHOUT	https://soundcloud.com/detoxxyourmind/cpu-crashout-final
82	2175480945	$UICIDEBOY$ - WHATWHAT (chopstick420 edit)	https://soundcloud.com/chopstick420/uicideboy-whatwhat-chopstick420-edit
83	2191523415	Dollar Bill Bounce	https://soundcloud.com/kamaleon/kamaeleon-x-jokkel-dollar-1
84	1823288028	Niall Kelly - Guataqai [PC008]	https://soundcloud.com/puin_collective/niall-kelly-guataqai-pc008-1
85	2202140711	ATI x RENZO - FEITIÇO	https://soundcloud.com/atiandati/ati-x-renzo
86	2190317571	BANDOLEROS (FREE DL)	https://soundcloud.com/diecisieteeq/bandoleros-f-17-x-demontime
87	2210825951	Pe2Fe X RENZO - Bones	https://soundcloud.com/fd-vs/pe2fe-x-renzo-bones
88	2135063544	Gnomen - Exit (Bandcamp)	https://soundcloud.com/gnomen-141841752/gnomen-exit
89	2242129925	GrooveCall - ArceX	https://soundcloud.com/marc-arce-902326877/groovecall-arcex-2
90	2235431561	The Flood (Free Download)	https://soundcloud.com/nikart_blueskies86/the-flood-unsigned
91	2109055890	Rave Generator	https://soundcloud.com/maskiert/rave-generator
92	2112416721	LooperBoi	https://soundcloud.com/maskiert/dstrct21_looperboi
93	2129295363	FREDDIE 2.0	https://soundcloud.com/renzo_dj/freddie-2-0
94	1579879518	Toobris - No, But Maybe Later	https://soundcloud.com/toobris/toobris-no-but-maybe-later-t53
95	2127264387	1Night Tool	https://soundcloud.com/back-to-bounce/1night-tool
96	2117101224	NINNIDSLVX - NO HESITATION	https://soundcloud.com/mokinauk/ninnidslvx-no-hesitation-2
97	2149711080	ninnidslvx - GEEKIN	https://soundcloud.com/gulligangrecords/ninnidslvx-geekin
98	2114117211	ninnidslvx x GIØ - 2MESSY	https://soundcloud.com/ninnidslvx/ninnidslvx-x-gio-2messy
99	2047233364	DJ HOTMAIL X DOCTOR MÜCKE  - TEACH ME HOW TO BOUNCE	https://soundcloud.com/bouncevisionrecords/doctor-mucke-x-dj-hotmail-teach-me-how-to-bounce
100	2038945076	DJ Blockflöte2000 x GIØ - GRVYRD SHFT	https://soundcloud.com/gulligangrecords/grvyrdshft
101	1874540253	DICE - HEAVY HOOD BOUNCE	https://soundcloud.com/einfachnurdice/heavy-hood-bounce
102	2103832017	GIØ - ENTERTAINMENT	https://soundcloud.com/neondreamscgn/gio-entertainment
103	2126443512	Premiere: Human Safari — Mouse On Keys [MR036]	https://soundcloud.com/hate_music/premiere-human-safari-mouse-on-keys-mr036
104	2215831190	ZENEA - KOSA LOKA [FREE DL]	https://soundcloud.com/millirecs/zenea-kosa-loka-free-dl
105	2216516174	PREMIERE: Boy In Nature – Recontruct The Crime [BCCOVA17]	https://soundcloud.com/transition_ofc/premiere-boy-in-nature-recontruct-the-crime-bccova17
106	1913038496	GH3TTØ R4V3 (FD)	https://soundcloud.com/giowaw/gh3tto-r4v3
107	2244016076	Vilchezz - Nights End Dubs [MLKL046]	https://soundcloud.com/molekulpage/premiere-vilchezz-nights-end-dubs-mlkl046
108	2075495828	BCCO Premiere: Boy In Nature - Bene Gesserit [ INS005]	https://soundcloud.com/bcco/bcco-premiere-boy-in-nature-bene-gesserit-ins005
109	2247400574	EP track three	https://soundcloud.com/user-717311951/ep-track-three
110	1772860062	PREMIERE: BENZA - Tool 3 [V1INNSL]	https://soundcloud.com/duplicityedinburgh/premiere-benza-tool-3-v1innsl
111	2206438679	David Zikarsky - Aktin [SLRX0030]	https://soundcloud.com/synthlabrecords/david-zikarsky-aktin-slrx0030
112	2079836364	BCCO Premiere: MAURER – Hablamos O Que [TRSN034]	https://soundcloud.com/bcco/bcco-premiere-maurer-hablamos-o-que-trsn034
113	2173222422	Premiere: FENIM0RE — No Trace Of You [GRÜVEP4]	https://soundcloud.com/hate_music/premiere-fenim0re-no-trace-of-you-gruvep4
114	2243469350	KEINPLANEK - BIER AUF BIER REIN (KKUBA102 FEAT CHAPO102 & EISBERG EDIT)	https://soundcloud.com/neondreamscgn/keinplanek-bier-auf-bier-rein
115	2025546716	BCCO Premiere: Vermeer - Inland Taipan [Tuesday Single 03]	https://soundcloud.com/bcco/bcco-premiere-vermeer-inland-taipan-tuesday-single-03
116	1313528710	XXX04	https://soundcloud.com/joaquin-poletti/xxx04-1
117	1832967852	EXTENDO X RENZO - PHASEONE	https://soundcloud.com/aaland/extendo-x-renzo-phase-1
118	1905149336	IDCS - BIG STEPPER [FREE DL]	https://soundcloud.com/bouncevisionrecords/idcs-big-stepper
119	2055808924	CRITICAL ERROR 404 x ATI - UWE (FREE DL)	https://soundcloud.com/atiandati/critical-error-404-x-ati-uwe
120	2005271455	CRITICAL ERROR 404 - WEMASTA (Edit)	https://soundcloud.com/mam-recordsx/critical-error-404-wemasta-1
